Date,WetTissue,Mask,Shampoo,Omega3,NationalGeographic,Nike,PokemonBread,iPhone
2019-01-01,0.56559,1.61046,0.41763,1.05838,4.10906,5.5481,0.07909,8.47009
2019-02-01,0.53429,0.49862,0.35894,0.91135,3.20178,6.257,0.07069,7.84667
2019-03-01,0.61167,3.51814,0.38366,1.01046,2.8197,7.18418,0.07543,7.81961
2019-04-01,0.4996,0.48491,0.36484,0.9352,2.35521,6.40646,0.07845,7.52693
2019-05-01,0.54495,0.43436,0.37971,0.87952,2.21309,6.08084,0.08395,7.74526
2019-06-01,0.53549,0.23072,0.41051,0.87101,2.17889,5.26553,0.08441,7.50547
2019-07-01,0.56008,0.21801,0.45389,0.93296,2.5676,5.54546,0.088,8.23143
2019-08-01,0.59615,0.39055,0.49559,0.9677,3.30746,6.04056,0.07686,9.54256
2019-09-01,0.52512,0.256,0.46237,0.99552,5.25736,7.67065,0.06632,13.57158
2019-10-01,0.5377,0.56839,0.44516,1.05858,7.42609,8.43545,0.07724,9.8863
2019-11-01,0.52343,0.52412,0.47939,1.03643,11.13793,9.34333,0.087,7.75806
2019-12-01,0.53408,0.66835,0.45283,1.16576,7.13403,8.0686,0.07392,7.59519
2020-01-01,0.60236,14.15988,0.45517,1.46633,3.12546,8.2608,0.08848,8.31092
2020-02-01,0.77291,100.0,0.46838,1.54652,2.6899,8.7983,0.0861,8.02308
2020-03-01,0.85085,92.17978,0.50422,1.8841,2.68583,10.03656,0.13398,8.85142
2020-04-01,0.67222,20.20824,0.44447,1.65573,2.19543,9.98364,0.10684,11.93214
2020-05-01,0.75634,13.50635,0.43363,1.92252,2.32879,10.22406,0.10851,8.1565
2020-06-01,0.76532,9.44942,0.44768,1.6764,1.78236,6.96081,0.07886,6.03081
2020-07-01,0.72645,6.95983,0.46888,1.70849,1.6418,6.84071,0.07996,7.13147
2020-08-01,0.75114,8.43296,0.49446,1.88217,1.62646,6.32879,0.07755,7.22361
2020-09-01,0.70189,3.91381,0.44912,2.07972,2.80794,8.6036,0.08956,7.47885
2020-10-01,0.69094,3.67618,0.41172,2.44905,5.77746,10.08838,0.07664,14.78004
2020-11-01,0.68545,4.3022,0.45404,2.31612,7.55573,9.82694,0.08533,10.06967
2020-12-01,0.80349,3.87034,0.52833,2.24318,4.20438,8.82406,0.08994,8.56487
2021-01-01,0.77931,2.55781,0.5746,2.68504,2.74793,9.14916,0.09502,7.86179
2021-02-01,0.69496,2.29534,0.45666,2.30295,2.84978,10.42048,0.07623,6.05116
2021-03-01,0.79142,2.91365,0.49151,2.59662,2.75355,11.71569,0.08194,5.9856
2021-04-01,0.7671,3.23464,0.4679,2.75309,1.7076,10.36682,0.07875,6.55978
2021-05-01,0.74965,3.51087,0.47687,2.75643,1.69006,9.59683,0.09937,7.43234
2021-06-01,0.79704,3.62261,0.50436,2.61389,1.39176,7.87885,0.10024,6.55418
2021-07-01,0.85935,3.86868,0.54401,2.51993,1.26429,7.06974,0.09343,6.49886
2021-08-01,0.9,3.50476,0.60264,2.87269,1.52416,7.93297,0.28262,8.08327
2021-09-01,0.77239,2.69365,0.54295,2.84151,2.53153,9.91741,0.14056,10.8107
2021-10-01,0.79236,2.50911,0.51885,2.7505,5.70539,10.51075,0.15513,8.41891
2021-11-01,0.72359,2.44522,0.48856,2.4646,6.03073,9.91862,0.1008,5.48094
2021-12-01,0.67415,2.43179,0.52879,2.44641,3.99947,8.94612,0.10108,5.16198
2022-01-01,0.71225,2.55818,0.57713,2.88209,2.66717,10.28041,0.13007,5.85815
2022-02-01,0.87302,2.8571,0.55553,2.60719,2.47379,10.27535,6.65508,6.08549
2022-03-01,0.80498,3.19499,0.59447,2.82832,2.65665,11.43107,100.0,8.26134
2022-04-01,0.68961,6.99449,0.51629,2.31086,2.35782,10.35725,67.25025,6.13168
2022-05-01,0.82931,4.15273,0.57392,2.46488,2.14702,9.66496,35.70681,5.65961
2022-06-01,0.72423,2.30213,0.61279,2.38438,1.83315,7.63801,22.77158,5.43442
2022-07-01,0.79616,2.46971,0.65302,2.20236,1.82032,6.72522,20.45667,5.87521
2022-08-01,0.8351,2.08585,0.64382,2.34459,1.82575,7.15149,12.64319,6.83118
2022-09-01,0.82571,2.50144,0.48909,2.09731,2.66455,8.67953,8.03839,10.68878
2022-10-01,0.83573,2.2487,0.671,1.89249,4.99643,9.64734,9.31422,7.30766
