Date,WetTissue,Mask,Shampoo,Omega3,NationalGeographic,Nike,PokemonBread,iPhone
2019-01-01,0.66213,2.07532,1.93409,2.53916,34.85331,18.5346,32.18244,0.98396
2019-02-01,0.66222,0.88453,1.53928,2.09052,16.88162,21.06782,32.02583,1.57132
2019-03-01,0.90056,6.4582,1.64664,3.28553,13.9007,22.38283,32.82346,2.10071
2019-04-01,0.55077,0.71351,1.55176,3.11702,8.08272,20.02252,29.76936,1.618
2019-05-01,0.71133,0.47408,1.64314,5.12498,3.3274,19.81175,28.58545,1.49712
2019-06-01,0.61536,0.50464,1.80212,4.85277,2.29096,16.50768,29.15926,1.54392
2019-07-01,0.63082,1.08087,1.94925,6.05629,3.09402,17.05898,27.48441,2.09457
2019-08-01,0.75162,0.36511,1.89989,6.87625,6.10742,17.72974,27.95421,2.71683
2019-09-01,0.73543,1.53585,1.76811,8.34339,15.80625,24.42239,31.38576,2.6023
2019-10-01,0.61064,1.31481,1.86073,7.58567,39.62642,25.27938,38.71997,2.95886
2019-11-01,0.55692,0.57315,2.32178,9.79129,100.0,25.64853,40.16925,3.42618
2019-12-01,0.53531,0.96838,2.35862,12.26585,86.9694,25.13024,36.78609,3.69177
2020-01-01,0.61847,19.32476,2.08056,11.60985,37.90496,27.03059,39.31682,3.77455
2020-02-01,0.88995,100.0,2.07761,9.04974,22.0303,29.04238,50.4858,5.12512
2020-03-01,0.98452,73.17109,2.34559,8.86404,18.13363,32.01403,52.33058,6.12034
2020-04-01,0.70719,16.21894,2.08432,8.20011,12.63289,31.11782,41.17257,6.13817
2020-05-01,0.81456,27.86074,2.05763,7.62221,6.53582,30.46742,35.08478,8.2467
2020-06-01,0.77964,24.02306,2.20872,6.55504,2.99918,22.11327,31.44933,6.61605
2020-07-01,0.78386,19.19997,2.31438,6.04294,3.73919,19.79466,33.39239,8.31032
2020-08-01,0.77862,23.15357,2.55166,4.14219,6.18081,18.36288,32.72949,12.34569
2020-09-01,0.68749,11.47739,2.0736,4.22129,16.36366,21.22724,41.28461,10.41262
2020-10-01,0.6496,8.69098,1.98952,3.89754,48.73937,24.83284,41.70629,12.78398
2020-11-01,0.79423,10.26206,1.98857,4.17125,86.62327,25.01286,48.28863,18.15481
2020-12-01,0.91404,11.17485,2.26902,4.85666,75.92086,24.00405,50.83122,17.1118
2021-01-01,0.89978,8.6973,2.38393,5.41283,43.58968,25.8538,52.04002,18.06203
2021-02-01,0.93016,7.667,2.02982,4.97321,20.17454,27.46906,47.3955,13.10167
2021-03-01,1.21773,10.06578,2.44298,7.57533,18.16261,32.61785,44.49892,13.32463
2021-04-01,0.89093,10.02542,2.09046,5.65042,9.58709,28.89949,40.07101,13.29445
2021-05-01,0.98723,9.25527,2.41099,7.06554,6.80453,27.44942,40.73907,13.70868
2021-06-01,1.16716,9.47807,2.4196,8.48596,3.7079,21.90489,36.88319,13.18803
2021-07-01,1.56656,11.12862,2.81492,9.51192,3.77595,18.97502,35.3631,14.61322
2021-08-01,1.7404,10.38783,3.07776,10.77807,7.54029,20.30445,38.98319,20.56422
2021-09-01,1.29002,9.39115,3.0332,13.49236,14.07536,25.58493,42.99236,20.92179
2021-10-01,1.49742,9.98854,3.11734,13.35056,45.68857,28.17106,51.87801,25.32456
2021-11-01,1.4267,9.81469,3.37962,19.23213,77.34114,27.27155,56.18224,20.70802
2021-12-01,1.6047,12.95757,4.17079,27.15443,75.88123,28.94259,56.63089,21.51159
2022-01-01,1.66575,13.62509,4.66202,26.14597,45.54004,31.8154,61.77409,21.12011
2022-02-01,1.80927,14.1512,4.48169,26.00209,26.32417,31.43326,61.31009,22.51858
2022-03-01,2.17369,15.75528,5.47404,38.85015,20.91539,35.08991,61.74962,23.96397
2022-04-01,1.93531,14.99219,5.80599,38.35406,10.6502,29.96274,100.0,20.60491
2022-05-01,2.21722,14.39935,7.12012,29.33019,5.84938,27.8062,92.16383,20.99803
2022-06-01,2.86514,17.45317,7.44109,30.12829,3.79906,22.86932,81.2619,16.30008
2022-07-01,3.18304,23.56537,7.0373,38.5356,3.52885,18.95628,80.18676,17.10897
2022-08-01,3.46657,24.50559,6.38421,37.27419,7.18209,21.23497,95.38462,20.32818
2022-09-01,4.53449,25.71984,5.94983,37.35998,14.17903,24.89292,87.94633,19.04312
2022-10-01,2.74871,19.67715,5.26857,31.11099,39.4627,26.82335,89.12337,19.36619
