시점,합계,컴퓨터 및 주변기기,가전·전자·통신기기,서적,사무·문구,의복,신발,가방,패션용품 및 액세서리,스포츠·레저용품,화장품,아동·유아용품,음·식료품,농축수산물,생활용품,자동차 및 자동차용품,가구,애완용품,여행 및 교통서비스,문화 및 레저서비스,e쿠폰서비스,음식서비스,기타서비스,기타
2019.01,10811796,561512,1063081,173949,79764,1107321,159646,202289,191270,275432,901348,313678,1193353,413272,831769,96468,284702,72818,1538638,167713,240122,621909,97802,223939
2019.02,9666871,542469,982059,154317,71208,959743,156431,211934,185262,251940,863072,286419,867434,231118,735651,79857,273700,65332,1417432,182936,234109,614963,77885,221598
2019.03,11296239,532496,1324884,196741,81741,1238235,206810,230083,211277,331660,1025719,337553,1027271,278404,869192,106893,309508,73144,1379761,176085,257544,694509,78986,327742
2019.04,10763785,469169,1134227,147909,80638,1204083,204171,218640,213521,361085,963721,354227,1058853,286290,821882,97417,288266,75924,1395058,200034,226798,686320,79595,195957
2019.05,11374817,440108,1296165,133322,72149,1278281,217438,225132,233789,408724,990437,347942,1111609,285288,862291,106336,289865,77463,1489894,204178,275980,742382,90207,195838
2019.06,10725166,389195,1177804,122458,63607,1133621,211418,210523,215417,363405,944962,303935,1040151,269840,812251,98707,274041,77825,1483712,248326,259856,774478,87966,161668
2019.07,11302975,443122,1230419,156406,69488,1139671,205065,209939,231955,391095,986542,318267,1092958,282677,845351,97304,266896,77944,1651491,215929,282476,828915,96756,182308
2019.08,11418155,447965,1198465,154251,69003,912495,162540,222228,212401,337705,1039664,308960,1215522,321530,874832,112212,279352,77351,1692768,220069,309178,917005,129122,203535
2019.09,11397646,435676,1096363,147118,69440,1187128,201008,228842,212056,343934,1102640,325269,1233759,374542,859634,169793,291520,82670,1370146,166651,276810,854892,174802,192953
2019.1,12008033,445118,1200192,133779,78616,1413279,212645,235527,206328,406650,1158245,349396,1190483,313056,907585,106702,324803,88768,1486653,206700,302371,913722,121149,206265
2019.11,12991605,528007,1357353,147454,85392,1710042,251485,232236,216318,417226,1210348,361415,1198157,325846,932759,159418,329462,86415,1497585,206813,369420,1026981,134574,206900
2019.12,12843750,554877,1213392,178831,103299,1462342,231875,245214,242365,361262,1193049,442747,1217181,341186,927285,115796,323767,87025,1619104,184605,345362,1059286,180256,213645
2020.01,12106130,538557,1133601,169926,77214,1027047,163078,209623,199331,277217,1115832,333993,1401552,450441,951436,113589,298019,83991,1534453,159324,312498,1063820,163697,327892
2020.02,11786568,606960,1327134,189388,87272,938264,172717,209098,182790,287490,1041073,388785,1468975,438865,1136757,161121,363751,84374,704247,59733,329947,1135331,152190,320307
2020.03,12395207,677703,1401448,261298,88777,1163579,202992,218312,182878,361914,971374,409251,1627809,494492,1239912,211539,433960,89927,336480,24483,354055,1252462,70484,320078
2020.04,11865005,632656,1333909,204847,81374,1155879,209318,197855,167749,429606,949965,401212,1509770,443347,1083795,133384,401941,89355,435031,31345,339841,1263148,120736,248943
2020.05,12512199,579558,1548002,169464,81854,1322705,247007,223745,189517,484409,927351,406758,1462526,394615,1151792,143319,397538,89750,553641,54981,345582,1320798,95438,321848
2020.06,12423338,521536,1518819,170175,80278,1302365,244096,238258,186921,484415,978091,368831,1424733,393743,1166157,260840,394872,87477,593576,48133,315187,1253440,99843,291553
2020.07,12766131,594361,1393142,186432,82692,1092426,219823,239820,200200,500723,1002712,376166,1569245,436060,1211740,158251,381140,95766,793270,80139,348389,1378600,109815,315220
2020.08,13308851,575381,1638217,202311,73481,903288,175627,225361,177172,412562,1081476,369151,1627996,472981,1268095,202781,405776,92128,789174,62277,353423,1676687,156855,366650
2020.09,13693126,604967,1420383,220032,85335,1139160,190865,222912,162797,450923,1078717,386595,2005192,689624,1229562,217692,443288,95225,547636,43615,403379,1603614,135657,315957
2020.1,13744323,547008,1615545,169780,92072,1593552,228078,234555,167234,555022,1039189,390184,1640166,466870,1178870,153043,448985,99316,683168,81092,363560,1546338,153745,296952
2020.11,14881920,649042,1904852,191977,99987,1761425,277583,246595,184018,541631,1140393,398816,1753375,485990,1220778,214043,443497,99917,691149,71748,408354,1642625,126198,327924
2020.12,15836939,785304,1856603,266325,129156,1492560,235591,251948,213764,473867,1095910,526760,2012854,625540,1389270,202961,484732,107468,470483,13247,524782,2197375,135899,344541
2021.01,14837102,789429,1852363,259199,96867,1083924,172563,229370,181348,366481,1094223,400873,2111021,694074,1307225,151969,475157,104221,499475,33959,464339,2030620,167707,270696
2021.02,13577763,780684,1594716,213414,86976,1001223,190876,236077,168376,334004,920866,368315,1847913,609488,1160800,153199,435158,92148,578007,75460,480745,1824078,172090,253150
